sensorId,createdAt,value,lat,lon
623894cdbe6329001cb4bfe5,2023-02-28T01:20:13.200Z,1.52,47.465842,19.117917
63f358354fbabe00074ecba3,2023-02-28T01:20:08.035Z,0.83,47.47018,19.078783
6079416140d969001b223803,2023-02-28T01:20:04.082Z,0.25,47.541081,19.082268
61a12255d85cc7001bf7fdab,2023-02-28T01:19:59.755Z,1.18,47.530403,19.281569
5fee0624576ab7001ccf57c5,2023-02-28T01:19:58.110Z,0.62,47.522679,19.106484
63f358354fbabe00074ecba3,2023-02-28T01:19:54.630Z,0.81,47.47018,19.078783
6012ae1a571de9001bf0de7a,2023-02-28T01:19:53.744Z,0.73,47.477996,19.035062
63c8632ad37b36000733227b,2023-02-28T01:19:50.742Z,14.42,47.516104,19.056701
615a2bcd7ea3fe001c5d77ab,2023-02-28T01:19:44.794Z,-0.20,47.5026,18.9403
615a29387ea3fe001c5c6730,2023-02-28T01:19:44.594Z,-0.29,47.50262,18.94011
63f358354fbabe00074ecba3,2023-02-28T01:19:39.203Z,0.83,47.47018,19.078783
601ceca9e443a0001bcc937c,2023-02-28T01:19:38.008Z,3.73,47.361997,18.929267
5e3f35876a0f2d001bd440a0,2023-02-28T01:19:37.526Z,1.20,47.383982,19.218063
61fba00568c6fb001b8c5329,2023-02-28T01:19:30.185Z,3.18,47.504416,19.074067
6040d2f38ad04a001bcb356f,2023-02-28T01:19:29.626Z,1.12,47.473679,19.056018
5f15a1e8e8f87e001c7e0eaf,2023-02-28T01:19:27.953Z,-0.75,47.447888,19.181061
632accb7b6658f001be047ad,2023-02-28T01:19:27.094Z,3.63,47.47023,19.166389
63f358354fbabe00074ecba3,2023-02-28T01:19:26.610Z,0.86,47.47018,19.078783
6391e43f698b50001ce301f2,2023-02-28T01:19:21.878Z,9.22,47.50145,19.148263
6080401160979a001b0310fe,2023-02-28T01:19:17.589Z,0.66,47.456662,19.159684
6040ca7d8ad04a001bc6fd49,2023-02-28T01:19:16.786Z,1.53,47.463627,19.014867
63f358354fbabe00074ecba3,2023-02-28T01:19:13.982Z,0.88,47.47018,19.078783
618ebe57e30ca5001b8f335d,2023-02-28T01:19:13.700Z,-0.90,47.406479,19.187427
63f358354fbabe00074ecba3,2023-02-28T01:19:01.571Z,0.86,47.47018,19.078783
6238444bbe6329001c8e4f58,2023-02-28T01:18:59.764Z,3.30,47.486088,19.064243
60d71dd18855dd001c7c5351,2023-02-28T01:18:58.570Z,0.11,47.417303,19.080649
61a12255d85cc7001bf7fdab,2023-02-28T01:18:57.549Z,0.98,47.530403,19.281569
63f358354fbabe00074ecba3,2023-02-28T01:18:46.080Z,0.86,47.47018,19.078783
615a29387ea3fe001c5c6730,2023-02-28T01:18:41.739Z,-0.35,47.50262,18.94011
